ts;n;bid;ask;value;volume;phase;round;active_id
1621252662000;14176786;1.21496;1.21502;1.21499;9;T;True;1
1621252663000;14176791;1.21495;1.21501;1.21498;4;T;True;1
1621252664000;14176803;1.21492;1.21498;1.21495;11;T;True;1
1621252665000;14176819;1.21489;1.21495;1.21492;15;T;True;1
1621252666000;14176820;1.21489;1.21495;1.21492;0;T;True;1
1621252667000;14176831;1.21488;1.21494;1.21491;10;T;True;1
1621252668000;14176833;1.21488;1.21494;1.21491;1;T;True;1
1621252669000;14176835;1.21488;1.21494;1.21491;1;T;True;1
1621252670000;14176839;1.21488;1.21494;1.21491;3;T;True;1
1621252671000;14176841;1.21488;1.21494;1.21491;1;T;True;1
1621252672000;14176846;1.21488;1.21494;1.21491;4;T;True;1
1621252673000;14176857;1.21484;1.2149;1.21487;10;T;True;1
1621252674000;14176864;1.21484;1.2149;1.21487;6;T;True;1
1621252675000;14176872;1.21483;1.21489;1.21486;7;T;True;1
1621252676000;14176874;1.21482;1.21488;1.21485;1;T;True;1
1621252677000;14176879;1.21482;1.21488;1.21485;4;T;True;1
1621252678000;14176889;1.21482;1.21488;1.21485;9;T;True;1
1621252679000;14176903;1.21479;1.21485;1.21482;13;T;True;1
1621252680000;14176913;1.21478;1.21484;1.21481;9;T;True;1
1621252681000;14176917;1.21477;1.21483;1.2148;3;T;True;1
1621252682000;14176930;1.21477;1.21483;1.2148;12;T;True;1
1621252683000;14176937;1.21477;1.21483;1.2148;6;T;True;1
1621252684000;14176947;1.21472;1.21478;1.21475;9;T;True;1
1621252685000;14176951;1.21469;1.21475;1.21472;3;T;True;1
1621252686000;14176967;1.21472;1.21478;1.21475;15;T;True;1
1621252687000;14176973;1.21477;1.21483;1.2148;5;T;True;1
1621252688000;14176975;1.21477;1.21483;1.2148;1;T;True;1
1621252689000;14176980;1.21476;1.21482;1.21479;4;T;True;1
1621252690000;14176984;1.21474;1.2148;1.21477;3;T;True;1
1621252691000;14176985;1.21474;1.2148;1.21477;0;T;True;1
1621252692000;14176986;1.21474;1.2148;1.21477;0;T;True;1
1621252693000;14176992;1.21468;1.21474;1.21471;5;T;True;1
1621252694000;14176993;1.21468;1.21474;1.21471;0;T;True;1
1621252695000;14176995;1.21469;1.21475;1.21472;1;T;True;1
1621252696000;14177000;1.21472;1.21478;1.21475;4;T;True;1
1621252697000;14177003;1.21472;1.21478;1.21475;2;T;True;1
1621252698000;14177004;1.21472;1.21478;1.21475;0;T;True;1
1621252699000;14177005;1.21472;1.21478;1.21475;0;T;True;1
1621252700000;14177008;1.21472;1.21478;1.21475;2;T;True;1
1621252701000;14177009;1.21472;1.21478;1.21475;0;T;True;1
1621252702000;14177010;1.21472;1.21478;1.21475;0;T;True;1
1621252703000;14177011;1.21472;1.21478;1.21475;0;T;True;1
1621252704000;14177012;1.21472;1.21478;1.21475;0;T;True;1
1621252705000;14177013;1.21472;1.21478;1.21475;0;T;True;1
1621252706000;14177014;1.21472;1.21478;1.21475;0;T;True;1
1621252707000;14177015;1.21472;1.21478;1.21475;0;T;True;1
1621252708000;14177016;1.21472;1.21478;1.21475;0;T;True;1
1621252709000;14177017;1.21472;1.21478;1.21475;0;T;True;1
1621252710000;14177018;1.21472;1.21478;1.21475;0;T;True;1
1621252711000;14177019;1.21472;1.21478;1.21475;0;T;True;1
1621252712000;14177021;1.21472;1.21478;1.21475;1;T;True;1
1621252713000;14177038;1.21476;1.21482;1.21479;16;T;True;1
1621252714000;14177044;1.21474;1.2148;1.21477;5;T;True;1
1621252715000;14177045;1.21474;1.2148;1.21477;0;T;True;1
1621252716000;14177048;1.21474;1.2148;1.21477;2;T;True;1
1621252717000;14177054;1.21477;1.21483;1.2148;5;T;True;1
1621252718000;14177056;1.21478;1.21484;1.21481;1;T;True;1
1621252719000;14177059;1.21478;1.21484;1.21481;2;T;True;1
1621252720000;14177060;1.21478;1.21484;1.21481;0;T;True;1
1621252721000;14177063;1.21478;1.21484;1.21481;2;T;True;1
1621252722000;14177066;1.21477;1.21483;1.2148;2;T;True;1
